Team,Player,Birthplace,Latitude,Longitutde
Houston Rockets,James Harden,"Los Angeles, California","34°03'00""N","118°15'00""W"
Los Angeles Clippers,Kawhi Leonard,"Los Angeles, California","34°03'00""N","118°15'00""W"
San Antonio Spurs,Chimezie Metu,"Los Angeles, California","34°03'00""N","118°15'00""W"
Minnesota Timberwolves,Jordan McLaughlin,"Pasadena, California","34°09'22""N","118°07'25""W"
Memphis Grizzlies,De'Anthony Melton,"North Hollywood, California","34°10'26""N","118°22'44""W"
Milwaukee Bucks,Brook Lopez,"North Hollywood, California","34°10'26""N","118°22'44""W"
Milwaukee Bucks,Robin Lopez,"North Hollywood, California","34°10'26""N","118°22'44""W"
New York Knicks,Kadeem Allen,"Wilmington, North Carolina","34°13'24""N","77°54'44""W"
New Orleans Pelicans,Jrue Holiday,"Chatsworth, California","34°15'26""N","118°36'01""W"
Indiana Pacers,Justin Holiday,"Mission Hills, California","34°15'26""N","118°28'02""W"
Orlando Magic,James Ennis,"Ventura, California","34°16'30""N","119°13'40""W"
Los Angeles Clippers,Paul George,"Palmdale, California","34°34'52""N","118°06'02""W"
Atlanta Hawks,Dewayne Dedmon,"Lancaster, California","34°41'00""N","118°09'00""W"
New York Knicks,Bobby Portis,"Little Rock, Arkansas","34°44'10""N","92°19'52""W"
Minnesota Timberwolves,Jacob Evans,"Jacksonville, North Carolina","34°45'35""N","77°24'35""W"
Brooklyn Nets,Nicolas Claxton,"Greenville, South Carolina","34°50'40""N","82°23'08""W"
Golden State Warriors,Ky Bowman,"Havelock, North Carolina","34°52'58""N","76°54'33""W"
Toronto Raptors,Terence Davis,"Southaven, Mississippi","34°58'00""N","89°59'14""W"
New York Knicks,Dennis Smith Jr.,"Fayetteville, North Carolina","35°03'09""N","78°52'41""W"
Brooklyn Nets,Chris Chiozza,"Memphis, Tennessee","35°07'03""N","89°58'16""W"
Brooklyn Nets,Jeremiah Martin,"Memphis, Tennessee","35°07'03""N","89°58'16""W"
Dallas Mavericks,Antonius Cleveland,"Memphis, Tennessee","35°07'03""N","89°58'16""W"
Los Angeles Clippers,Lou Williams,"Memphis, Tennessee","35°07'03""N","89°58'16""W"
Washington Wizards,Johnathan Williams,"Memphis, Tennessee","35°07'03""N","89°58'16""W"
New Orleans Pelicans,Jaxson Hayes,"Norman, Oklahoma","35°13'12""N","97°26'24""W"
Atlanta Hawks,DeaAndre' Bembry,"Charlotte, North Carolina","35°13'38""N","80°50'35""W"
Dallas Mavericks,Seth Curry,"Charlotte, North Carolina","35°13'38""N","80°50'35""W"
Washington Wizards,Ish Smith,"Charlotte, North Carolina","35°13'38""N","80°50'35""W"
Portland TrailBlazers,Hassan Whiteside,"Gastonia, North Carolina","35°15'19""N","81°10'49""W"
New Orleans Pelicans,Brandon Ingram,"Kinston, North Carolina","35°16'14""N","77°35'06""W"
Chicago Bulls,Coby White,"Goldsboro, North Carolina","35°22'55""N","77°58'41""W"
Orlando Magic,Gary Clark,"Smithfield, North Carolina","35°30'33""N","78°20'47""W"
Philadelphia 76ers,Josh Richardson,"Edmond, Oklahoma","35°39'00""N","97°28'00""W"
Sacramento Kings,DaQuan Jeffries,"Edmond, Oklahoma","35°39'00""N","97°28'00""W"
New Orleans Pelicans,Zion Willamson,"Salisbury, North Carolina","35°40'06""N","80°28'43""W"
Charlotte Hornets,Devonte' Graham,"Raleigh, North Carolina","35°46'00""N","78°38'00""W"
Houston Rockets,Chris Clemons,"Raleigh, North Carolina","35°46'00""N","78°38'00""W"
Houston Rockets,PJ Tucker,"Raleigh, North Carolina","35°46'00""N","78°38'00""W"
Washington Wizards,Jerome Robinson,"Raleigh, North Carolina","35°46'00""N","78°38'00""W"
Washington Wizards,John Wall,"Raleigh, North Carolina","35°46'00""N","78°38'00""W"
Charlotte Hornets,Malik Monk,"Jonesboro, Arkansas","35°49'41""N","90°41'39""W"
Charlotte Hornets,Caleb Martin,"Mocksville, North Carolina","35°53'38""N","80°33'41""W"
Charlotte Hornets,Cody Martin,"Mocksville, North Carolina","35°53'38""N","80°33'41""W"
Los Angeles Clippers,Montrezl Harrell,"Tarboro, North Carolina","35°54'10""N","77°32'45""W"
Washington Wizards,Garrison Mathews,"Franklin, Tennessee","35°55'45""N","86°51'27""W"
Indiana Pacers,TJ Warren,"Durham, North Carolina","35°59'19""N","78°54'26""W"
Utah Jazz,Mike Conley,"Fayetteville, Arkansas","36°03'45""N","94°09'27""W"
Brooklyn Nets,Theo Pinson,"Greensboro, North Carolina","36°04'48""N","79°49'10""W"
